unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
8330429,HT564067,2011-10-28 05:05:00.000000 UTC,001XX N JEFFERSON ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARKING LOT/GARAGE(NON.RESID.),true,false,111,1,42,28,03,1172295.0,1901507.0,2011,2016-02-04 06:33:39.000000 UTC,41.885182294,-87.642757034,"(41.885182294, -87.642757034)"
4382503,HL677533,2005-10-16 11:57:14.000000 UTC,001XX N JEFFERSON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,111,1,42,28,03,1172313.0,1900889.0,2005,2018-02-28 03:56:25.000000 UTC,41.883486065,-87.642709199,"(41.883486065, -87.642709199)"
10382226,HZ118472,2016-01-17 01:17:00.000000 UTC,0000X E LAKE ST,031A,ROBBERY,ARMED: HANDGUN,RESTAURANT,false,false,111,1,42,32,03,1176575.0,1901750.0,2016,2018-02-10 03:50:01.000000 UTC,41.885753511,-87.627032961,"(41.885753511, -87.627032961)"
10418666,HZ155446,2016-02-18 04:40:00.000000 UTC,001XX N MICHIGAN AVE,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,true,false,111,1,42,32,03,1177271.0,1901522.0,2016,2018-02-10 03:50:01.000000 UTC,41.885112119,-87.624484053,"(41.885112119, -87.624484053)"
2375767,HH681975,2002-09-30 10:10:00.000000 UTC,005XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,111,1,42,28,03,1173039.0,1900311.0,2002,2018-02-28 03:56:25.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
2299567,HH587034,2002-08-17 04:45:00.000000 UTC,003XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,111,1,2,28,03,1173189.0,1898797.0,2002,2018-02-28 03:56:25.000000 UTC,41.877726093,-87.639554589,"(41.877726093, -87.639554589)"
9914893,HY104370,2015-01-05 05:10:00.000000 UTC,0000X E LAKE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,111,1,42,32,03,1176916.0,1901744.0,2015,2018-02-10 03:50:01.000000 UTC,41.885729338,-87.625780935,"(41.885729338, -87.625780935)"
10792635,HZ562595,2016-12-23 01:00:00.000000 UTC,0000X E LAKE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,111,1,42,32,03,1176596.0,1901750.0,2016,2018-02-10 03:50:01.000000 UTC,41.885753037,-87.626955845,"(41.885753037, -87.626955845)"
12926802,JF511883,2022-12-15 05:01:00.000000 UTC,0000X E RANDOLPH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,111,1,42,32,03,1177228.0,1901296.0,2022,2023-01-10 03:41:07.000000 UTC,41.884492937,-87.624648808,"(41.884492937, -87.624648808)"
12094732,JD283481,2020-07-02 02:20:00.000000 UTC,002XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,111,1,42,32,03,1176327.0,1901797.0,2020,2020-07-09 03:49:14.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
9579669,HX229738,2014-04-19 04:16:00.000000 UTC,001XX N WABASH AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA PLATFORM,false,false,111,1,42,32,03,1176791.0,1901351.0,2014,2018-02-10 03:50:01.000000 UTC,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
11423517,JB401283,2018-08-20 11:47:00.000000 UTC,0000X E LAKE ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,111,1,42,32,04B,1176991.0,1901746.0,2018,2018-08-29 03:59:35.000000 UTC,41.885733129,-87.625505463,"(41.885733129, -87.625505463)"
7756800,HS565132,2010-10-15 04:00:00.000000 UTC,006XX W WASHINGTON BLVD,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,111,1,42,28,04B,1172041.0,1900771.0,2010,2018-02-10 03:50:01.000000 UTC,41.883168267,-87.643711477,"(41.883168267, -87.643711477)"
12562187,JE464175,2021-12-02 10:07:00.000000 UTC,001XX N STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA PLATFORM,false,false,111,1,42,32,04B,1176330.0,1901649.0,2021,2021-12-11 03:40:26.000000 UTC,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
11337775,JB287721,2018-06-01 12:55:00.000000 UTC,002XX N DEARBORN ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,111,1,42,32,04B,1175901.0,1901839.0,2018,2018-06-13 04:08:58.000000 UTC,41.886012928,-87.629505318,"(41.886012928, -87.629505318)"
12130956,JD326836,2020-08-10 04:54:00.000000 UTC,0000X W RANDOLPH ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,true,false,111,1,42,32,08B,1176235.0,1901286.0,2020,2020-08-17 03:41:32.000000 UTC,41.884487942,-87.628295495,"(41.884487942, -87.628295495)"
9825203,HX475389,2014-10-20 04:30:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,111,1,42,32,08B,1176330.0,1901649.0,2014,2018-02-10 03:50:01.000000 UTC,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
10807233,JA105853,2017-01-03 03:00:00.000000 UTC,0000X W LAKE ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,42,32,08B,1176122.0,1901745.0,2017,2017-02-14 03:49:42.000000 UTC,41.88575001,-87.628696601,"(41.88575001, -87.628696601)"
4416497,HL710614,2005-11-02 09:25:00.000000 UTC,0000X S CANAL ST,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,true,false,111,1,2,28,08B,1173144.0,1900197.0,2005,2018-02-28 03:56:25.000000 UTC,41.881568781,-87.63967827,"(41.881568781, -87.63967827)"
1994591,HH196597,2002-02-19 04:30:00.000000 UTC,006XX W MADISON ST,0460,BATTERY,SIMPLE,SIDEWALK,false,true,111,1,,,08B,1172231.0,1900286.0,2002,2018-02-28 03:56:25.000000 UTC,41.881833204,-87.643028117,"(41.881833204, -87.643028117)"
12547115,JE452690,2021-11-21 02:00:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,DEPARTMENT STORE,false,false,111,1,42,32,08B,1176352.0,1900927.0,2021,2021-11-28 03:45:56.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
12454338,JE339321,2021-08-16 01:36:00.000000 UTC,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,RESTAURANT,false,false,111,1,42,32,08B,1177242.0,1902518.0,2021,2021-08-23 03:41:28.000000 UTC,41.887845852,-87.624560336,"(41.887845852, -87.624560336)"
11624022,JC186667,2019-03-15 12:00:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,111,1,42,32,08B,1176332.0,1901600.0,2019,2019-03-22 04:21:33.000000 UTC,41.885347387,-87.627929824,"(41.885347387, -87.627929824)"
7964336,HT196472,2011-03-10 08:40:00.000000 UTC,005XX W MADISON ST,0460,BATTERY,SIMPLE,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,111,1,42,28,08B,1173039.0,1900311.0,2011,2018-02-10 03:50:01.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
12763750,JF320892,2022-07-17 11:30:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,DEPARTMENT STORE,false,false,111,1,42,32,08B,1176352.0,1900927.0,2022,2023-01-03 03:40:27.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
8143539,HT377909,2011-07-03 03:45:00.000000 UTC,004XX W JACKSON BLVD,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,111,1,2,28,08B,1173639.0,1898924.0,2011,2018-02-10 03:50:01.000000 UTC,41.878064596,-87.637898541,"(41.878064596, -87.637898541)"
11285416,JB224147,2018-04-14 05:30:00.000000 UTC,001XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1177295.0,1900950.0,2018,2018-05-04 03:51:04.000000 UTC,41.883541976,-87.624413274,"(41.883541976, -87.624413274)"
11390022,JB362547,2018-07-23 10:00:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1176338.0,1901346.0,2018,2018-07-30 03:52:24.000000 UTC,41.884650262,-87.627915459,"(41.884650262, -87.627915459)"
11675307,JC248454,2019-05-03 10:30:00.000000 UTC,0000X W WASHINGTON ST,0460,BATTERY,SIMPLE,GOVERNMENT BUILDING/PROPERTY,false,false,111,1,42,32,08B,1175800.0,1900817.0,2019,2019-05-10 04:20:42.000000 UTC,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
11978296,JD144165,2020-01-27 10:00:00.000000 UTC,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,ATHLETIC CLUB,false,false,111,1,42,32,08B,1176904.0,1901295.0,2020,2020-02-14 03:40:03.000000 UTC,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
10267236,HY454514,2015-10-08 05:15:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,DEPARTMENT STORE,true,false,111,1,42,32,08B,1176352.0,1900927.0,2015,2018-02-10 03:50:01.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
9290577,HW435632,2013-09-01 04:00:00.000000 UTC,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,111,1,42,32,08B,1176327.0,1901797.0,2013,2018-02-10 03:50:01.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
9384388,HW527704,2013-11-10 01:00:00.000000 UTC,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,111,1,42,32,08B,1176327.0,1901797.0,2013,2018-02-10 03:50:01.000000 UTC,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
2365055,HH667831,2002-09-23 05:29:47.000000 UTC,006XX W MONROE ST,0460,BATTERY,SIMPLE,STREET,false,false,111,1,42,28,08B,,,2002,2015-08-17 03:03:40.000000 UTC,,,
12811944,JF377765,2022-08-31 02:40:00.000000 UTC,001XX N STATE ST,0460,BATTERY,SIMPLE,SCHOOL - PRIVATE BUILDING,false,false,111,1,42,32,08B,1176336.0,1901423.0,2022,2023-01-03 03:40:27.000000 UTC,41.8848616,-87.627920479,"(41.8848616, -87.627920479)"
