year,name,number
2020,Noah,2625
2020,Liam,2420
2020,Olivia,2350
2020,Liam,2209
2020,Camila,2185
2020,Emma,2104
2020,Noah,2076
2020,Mateo,2073
2020,Mia,2038
2020,Sophia,1995
2020,Sebastian,1994
2020,Olivia,1926
2020,Isabella,1865
2020,Emma,1837
2020,Camila,1744
2020,Mateo,1716
2020,Julian,1687
2020,Isabella,1662
2020,Ethan,1650
2020,Benjamin,1645
2020,Elijah,1586
2020,Alexander,1583
2020,Liam,1563
2020,Elijah,1544
2020,Oliver,1538
2020,Gianna,1529
2020,Daniel,1482
2020,Mia,1480
2020,Sebastian,1474
2020,Sophia,1463
2020,Luna,1460
2020,Liam,1358
2020,Lucas,1354
2020,Matthew,1339
2020,Noah,1317
2020,Jacob,1294
2020,Oliver,1287
2020,Sofia,1278
2020,Aiden,1271
2020,Amelia,1254
2020,Emily,1249
2020,Noah,1235
2020,Ava,1228
2020,Ava,1226
2020,Santiago,1211
2020,Daniel,1210
2020,Jayden,1200
2020,Charlotte,1175
2020,Santiago,1167
2020,David,1163
